species_id,pokemon_id,name_ko,name_en,generation,is_legendary,is_mythical,types_en,types_ko,height_m,weight_kg,hp,attack,defense,special_attack,special_defense,speed,total,image_file,image_url
1,1,이상해씨,bulbasaur,generation-i,0,0,grass|poison,풀|독,0.7,6.9,45,49,49,65,65,45,318,data\images\0001_bulbasaur.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,2,이상해풀,ivysaur,generation-i,0,0,grass|poison,풀|독,1.0,13.0,60,62,63,80,80,60,405,data\images\0002_ivysaur.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,3,이상해꽃,venusaur,generation-i,0,0,grass|poison,풀|독,2.0,100.0,80,82,83,100,100,80,525,data\images\0003_venusaur.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,4,파이리,charmander,generation-i,0,0,fire,불꽃,0.6,8.5,39,52,43,60,50,65,309,data\images\0004_charmander.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,5,리자드,charmeleon,generation-i,0,0,fire,불꽃,1.1,19.0,58,64,58,80,65,80,405,data\images\0005_charmeleon.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,6,리자몽,charizard,generation-i,0,0,fire|flying,불꽃|비행,1.7,90.5,78,84,78,109,85,100,534,data\images\0006_charizard.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,7,꼬부기,squirtle,generation-i,0,0,water,물,0.5,9.0,44,48,65,50,64,43,314,data\images\0007_squirtle.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,8,어니부기,wartortle,generation-i,0,0,water,물,1.0,22.5,59,63,80,65,80,58,405,data\images\0008_wartortle.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,9,거북왕,blastoise,generation-i,0,0,water,물,1.6,85.5,79,83,100,85,105,78,530,data\images\0009_blastoise.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,10,캐터피,caterpie,generation-i,0,0,bug,벌레,0.3,2.9,45,30,35,20,20,45,195,data\images\0010_caterpie.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,11,단데기,metapod,generation-i,0,0,bug,벌레,0.7,9.9,50,20,55,25,25,30,205,data\images\0011_metapod.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,12,버터플,butterfree,generation-i,0,0,bug|flying,벌레|비행,1.1,32.0,60,45,50,90,80,70,395,data\images\0012_butterfree.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
